Borough_Name,Borough_Code,Crime_number,16-18_not_in_education_employment_or_training,Children_in_poverty_under20,Any_neurotic_disorder_per_1000_people,UnemploymentRate,Percent_GoodAccessToPublic_OpenSpace,Percent_green,Population_per_square_kilometre
City of London,E09000001,1579,0,95,191,0,0,5.59 ,2770.72
Barking and Dagenham,E09000002,17998,460,17150,178,7.6,0.33 ,39.20 ,6047.64
Barnet,E09000003,26642,250,14600,167,6.4,0.14 ,57.99 ,4693.44
Bexley,E09000004,15175,290,9875,156,5.1,0,42.92 ,4208.77
Brent,E09000005,27911,280,18865,182,6.4,0,39.94 ,7953.55
Bromley,E09000006,21420,450,10960,158,4.7,0,68.36 ,2240.62
Camden,E09000007,29041,190,11285,206,4.7,16.73 ,43.28 ,11812.41
Croydon,E09000008,31718,470,19810,172,6.6,0,55.53 ,4627.23
Ealing,E09000009,28248,320,17730,174,6.7,10.81 ,43.96 ,6514.31
Enfield,E09000010,27868,380,24275,171,7.1,21.81 ,52.95 ,4243.28
Greenwich,E09000011,24533,420,16120,190,6.4,2.27 ,43.22 ,6178.79
Hackney,E09000012,30015,230,18690,213,4.8,50.68 ,38.79 ,15197.00
Hammersmith and Fulham,E09000013,18290,90,8735,206,5.2,24.72 ,27.60 ,11631.14
Haringey,E09000014,27698,300,16350,201,5.8,42.48 ,43.55 ,9761.11
Harrow,E09000015,15096,120,9415,154,5.9,0,55.42 ,5179.03
Havering,E09000016,16310,350,9785,151,4.9,0,65.98 ,2330.49
Hillingdon,E09000017,25665,230,13370,160,6.1,0.00 ,54.60 ,2733.36
Hounslow,E09000018,23711,260,12840,169,6.3,27.60 ,47.31 ,5079.83
Islington,E09000019,24656,270,13125,213,5,8.26 ,34.88 ,16344.66
Kensington and Chelsea,E09000020,17386,70,4850,195,5.3,42.23 ,30.37 ,13262.44
Kingstonupon Thames,E09000021,10507,190,4135,164,4.8,10.74 ,52.42 ,4903.98
Lambeth,E09000022,29604,180,18245,210,4.8,15.96 ,32.91 ,12693.90
Lewisham,E09000023,26673,320,18135,198,5.2,0,40.25 ,9031.90
Merton,E09000024,13243,250,7240,171,5.2,28.74 ,48.78 ,5652.08
Newham,E09000025,31839,490,23060,191,6,10.33 ,30.64 ,10043.32
Redbridge,E09000026,22581,350,13680,162,7.4,38.51 ,53.56 ,5534.73
Richmondupon Thames,E09000027,11949,170,3585,166,4.5,41.19 ,61.99 ,3513.75
Southwark,E09000028,31135,160,17655,206,5,0.05 ,37.67 ,11443.75
Sutton,E09000029,12694,230,6655,161,5.1,12.62 ,49.69 ,4818.96
TowerHamlets,E09000030,30084,270,23205,198,5.9,45.50 ,25.38 ,16583.51
Waltham Forest,E09000031,22955,270,16470,184,6.6,46.89 ,44.36 ,7473.31
Wandsworth,E09000032,24140,170,11745,200,4.3,39.94 ,39.01 ,9710.76
City of Westminster,E09000033,46429,80,10540,196,5,8.35 ,31.20 ,12099.47
